DSYear,DSType,SelectedGeography,SubjectArea,Geography,GEONAME,GEOID10,LOGRECNO,VarID,TableTitle,ShortName,Value,MoE,StdErr2,LongName
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5008, Wayne County, Michigan",2.62E+11,357568,P0030002,RACE,White alone,131,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5009, Wayne County, Michigan",2.62E+11,357570,P0030002,RACE,White alone,63,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5009, Wayne County, Michigan",2.62E+11,357571,P0030002,RACE,White alone,22,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5009, Wayne County, Michigan",2.62E+11,357572,P0030002,RACE,White alone,26,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 4, Census Tract 5009, Wayne County, Michigan",2.62E+11,357573,P0030002,RACE,White alone,23,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5010, Wayne County, Michigan",2.62E+11,357575,P0030002,RACE,White alone,17,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5010, Wayne County, Michigan",2.62E+11,357576,P0030002,RACE,White alone,32,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5010, Wayne County, Michigan",2.62E+11,357577,P0030002,RACE,White alone,32,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5011, Wayne County, Michigan",2.62E+11,357579,P0030002,RACE,White alone,19,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5011, Wayne County, Michigan",2.62E+11,357580,P0030002,RACE,White alone,26,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5011, Wayne County, Michigan",2.62E+11,357581,P0030002,RACE,White alone,21,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 4, Census Tract 5011, Wayne County, Michigan",2.62E+11,357582,P0030002,RACE,White alone,23,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 5, Census Tract 5011, Wayne County, Michigan",2.62E+11,357583,P0030002,RACE,White alone,16,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5012, Wayne County, Michigan",2.62E+11,357585,P0030002,RACE,White alone,30,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5012, Wayne County, Michigan",2.62E+11,357586,P0030002,RACE,White alone,23,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5013, Wayne County, Michigan",2.62E+11,357588,P0030002,RACE,White alone,15,0,0,Total:%White alone
